,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
5110,"Tangerine juice, 100%",7002,Citrus juice,0.5,88.9,0.2,12,0.057,0.02,0.1,0.042,0.0,5,29.4,18,0.2,8,178,1,0.03,43,9.9,0.2,0.024,0.036,0.04,0,0.0,,
5111,"Fruit juice blend, citrus, 100% juice",7006,Other fruit juice,0.41,87.24,0.2,1,0.04,0.025,0.173,0.061,0.0,10,40.7,8,0.18,10,150,4,0.06,51,10.57,0.08,0.011,0.009,0.024,0,0.0,,
5112,"Fruit juice blend, citrus, 100% juice, with calcium added",7006,Other fruit juice,0.68,87.22,0.3,2,0.046,0.039,0.28,0.076,0.0,19,33.6,140,0.13,11,178,2,0.07,47,8.31,0.12,0.014,0.022,0.03,0,0.0,,
5113,"Fruit mixture, dried",6016,Dried fruits,2.28,17.22,4.8,25,0.065,0.087,1.006,0.146,0.0,10,5.5,39,1.3,24,531,32,0.28,298,66.33,0.62,0.104,0.153,0.111,0,0.0,,
5114,"Apple, dried",6016,Dried fruits,0.93,31.76,8.7,0,0.0,0.159,0.927,0.125,0.0,0,3.9,14,1.4,16,450,87,0.2,243,57.19,0.32,0.052,0.013,0.093,0,0.0,,
5115,"Apricot, dried",6016,Dried fruits,3.39,30.89,7.3,180,0.015,0.074,2.589,0.143,0.0,10,1.0,55,2.66,32,1162,10,0.39,241,53.44,0.51,0.017,0.074,0.074,0,0.0,,
5116,"Blueberries, dried",6016,Dried fruits,2.5,14.8,7.5,7,0.092,0.127,1.154,0.152,0.0,12,23.8,19,0.9,18,214,3,0.49,317,67.5,2.5,0.2,0.405,1.3,0,0.0,,
5117,"Cherries, dried",6016,Dried fruits,1.25,16.6,2.5,141,0.058,0.101,0.867,0.101,0.0,11,19.3,38,0.68,22,376,13,0.25,333,67.15,0.73,0.146,0.177,0.194,0,0.0,,
5118,Banana chips,6016,Dried fruits,2.3,4.3,7.7,4,0.085,0.017,0.71,0.26,0.0,14,6.3,18,1.25,76,536,6,0.75,519,35.34,33.6,28.97,1.95,0.63,0,0.0,,
5119,"Currants, dried",6016,Dried fruits,3.43,17.6,4.4,4,0.16,0.142,1.615,0.296,0.0,10,4.7,88,1.88,36,777,43,0.37,290,62.28,0.22,0.085,0.021,0.047,0,0.0,,
5120,"Cranberries, dried",6016,Dried fruits,0.17,15.79,5.3,2,0.013,0.028,0.548,0.038,0.0,0,0.2,9,0.39,4,49,5,0.1,308,72.56,1.09,0.088,0.298,0.182,0,0.0,,
5121,Date,6016,Dried fruits,2.45,20.53,8.0,0,0.052,0.066,1.274,0.165,0.0,19,0.4,39,1.02,43,656,2,0.29,282,63.35,0.39,0.032,0.036,0.019,0,0.0,,
5122,"Fig, dried",6016,Dried fruits,3.3,30.0,9.8,0,0.085,0.082,0.619,0.106,0.0,9,1.2,162,2.03,68,680,10,0.66,249,47.9,0.92,0.144,0.159,0.345,0,0.0,,
5123,"Mango, dried",6016,Dried fruits,2.45,16.6,2.4,67,0.062,0.085,2.0,0.334,0.0,68,42.3,0,0.23,20,279,162,0.3,319,66.27,1.18,0.287,0.439,0.222,0,0.0,,
5124,"Papaya, dried",6016,Dried fruits,1.25,21.42,4.5,62,0.043,0.073,0.853,0.091,0.0,49,32.4,54,0.69,56,484,22,0.22,295,67.55,0.84,0.215,0.191,0.154,0,0.0,,
5125,"Peach, dried",6016,Dried fruits,3.61,31.8,8.2,108,0.002,0.212,4.375,0.067,0.0,0,4.8,28,4.06,42,996,7,0.57,239,41.74,0.76,0.082,0.278,0.367,0,0.0,,
5126,"Pear, dried",6016,Dried fruits,1.87,26.69,7.5,0,0.008,0.145,1.372,0.072,0.0,0,7.0,34,2.1,33,533,6,0.39,262,62.2,0.63,0.035,0.132,0.148,0,0.0,,
5127,"Persimmon, dried",6016,Dried fruits,1.54,0.86,9.6,108,0.056,0.057,0.239,0.239,0.0,11,4.0,22,0.42,24,429,3,0.3,366,80.06,0.66,0.053,0.098,0.114,0,0.0,,
5128,"Pineapple, dried",6016,Dried fruits,1.43,15.95,3.7,4,0.147,0.085,1.195,0.268,0.0,24,25.4,35,0.79,32,290,3,0.32,313,72.94,0.47,0.024,0.035,0.106,0,0.0,,
5129,"Prune, dried",6016,Dried fruits,2.18,30.92,7.1,39,0.051,0.186,1.882,0.205,0.0,4,0.6,43,0.93,41,732,2,0.44,240,38.13,0.38,0.088,0.053,0.062,0,0.0,,
5130,Raisins,6016,Dried fruits,3.3,15.46,4.5,0,0.106,0.125,0.766,0.174,0.0,5,2.3,62,1.79,36,744,26,0.36,299,65.18,0.25,0.094,0.024,0.053,0,0.0,,
5131,"Tamarind, dried",6016,Dried fruits,2.52,28.26,4.6,1,0.27,0.125,1.57,0.053,0.0,6,0.6,67,2.52,83,565,25,0.09,254,44.9,0.57,0.245,0.163,0.053,0,0.0,,
5132,"Fruit, NFS",6018,Other fruits and fruit salads,0.76,82.56,2.1,5,0.042,0.049,0.357,0.15,0.0,14,18.8,12,0.24,14,209,1,0.1,62,10.77,0.23,0.053,0.024,0.068,0,0.0,,
5133,"Fruit, pickled",6018,Other fruits and fruit salads,0.56,80.89,1.4,17,0.016,0.025,0.369,0.042,0.0,7,9.0,7,0.17,6,103,957,0.1,61,13.68,0.24,0.032,0.072,0.052,0,0.0,,
5134,"Apple, raw",6002,Apples,0.26,85.56,2.4,3,0.017,0.026,0.091,0.041,0.0,3,4.6,6,0.12,5,107,1,0.04,52,10.39,0.17,0.028,0.007,0.051,0,0.0,,
5135,"Applesauce, regular",6002,Apples,0.16,81.98,1.2,0,0.017,0.022,0.072,0.027,0.0,1,1.7,3,0.12,3,75,2,0.03,68,14.67,0.17,0.03,0.007,0.054,0,0.0,,
5136,"Applesauce, unsweetened",6002,Apples,0.17,88.22,1.1,1,0.026,0.03,0.084,0.027,0.0,3,1.0,4,0.23,3,74,2,0.03,42,9.39,0.1,0.008,0.002,0.014,0,0.0,,
5137,"Applesauce, flavored",6002,Apples,0.16,81.98,1.2,0,0.017,0.022,0.072,0.027,0.0,1,1.7,3,0.12,3,75,2,0.03,68,14.67,0.17,0.03,0.007,0.054,0,0.0,,
5138,Apple pie filling,6002,Apples,0.1,73.4,1.0,2,0.012,0.011,0.035,0.016,0.0,0,1.7,4,0.29,2,45,47,0.04,100,13.8,0.1,0.0,0.0,0.0,0,0.0,,
