,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
109,"Hot chocolate / Cocoa, ready to drink, with whipped cream",1204,"Flavored milk, reduced fat",2.73,77.44,0.0,84,0.045,0.121,0.121,0.048,0.41,2,0.2,101,0.0,17,149,58,0.44,103,14.6,3.18,1.952,0.742,0.119,12,0.9,,
110,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",1208,"Flavored milk, nonfat",2.79,78.76,0.0,69,0.043,0.116,0.125,0.046,0.43,2,0.0,105,0.0,17,156,60,0.46,90,14.72,1.77,1.13,0.445,0.079,8,0.9,,
111,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",1404,Milk substitutes,1.29,79.32,0.2,74,0.013,0.09,0.224,0.015,0.67,5,0.0,119,0.27,15,98,73,0.23,92,14.07,2.64,1.202,0.799,0.496,5,0.9,Milk Substitutes,Veggie
112,"Chocolate milk, made from dry mix, NS as to type of milk",1204,"Flavored milk, reduced fat",3.41,83.63,0.3,55,0.054,0.132,0.115,0.112,0.53,1,1.7,146,0.0,15,164,45,0.82,72,9.63,2.01,1.232,0.4,0.061,8,1.0,,
113,"Chocolate milk, made from dry mix with whole milk",1202,"Flavored milk, whole",3.36,82.75,0.3,30,0.053,0.133,0.111,0.113,0.51,0,1.7,143,0.0,14,158,44,0.8,81,9.55,3.14,1.885,0.646,0.101,11,1.0,Milks,Animal
114,"Chocolate milk, made from dry mix with reduced fat milk",1204,"Flavored milk, reduced fat",3.42,83.68,0.3,78,0.056,0.132,0.117,0.113,0.52,2,1.9,146,0.0,15,166,45,0.82,72,9.62,1.92,1.182,0.375,0.054,8,1.0,,
115,"Chocolate milk, made from dry mix with low fat milk",1206,"Flavored milk, lowfat",3.45,84.25,0.3,54,0.054,0.135,0.118,0.112,0.57,2,1.7,146,0.0,15,166,45,0.82,65,9.69,1.03,0.673,0.197,0.03,5,1.0,,
116,"Chocolate milk, made from dry mix with fat free milk",1208,"Flavored milk, nonfat",3.5,85.28,0.3,60,0.053,0.126,0.123,0.11,0.54,2,1.7,152,0.0,15,174,47,0.84,57,9.77,0.22,0.186,0.016,0.006,3,1.0,,
117,"Chocolate milk, made from dry mix with non-dairy milk",1404,Milk substitutes,1.68,85.96,0.5,66,0.014,0.094,0.243,0.07,0.8,5,1.7,169,0.32,13,105,63,0.57,59,8.99,1.27,0.272,0.445,0.511,0,1.0,Milk Substitutes,Veggie
118,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",1204,"Flavored milk, reduced fat",3.59,85.52,0.4,56,0.119,0.146,1.21,0.136,0.54,2,2.4,159,0.14,29,224,59,1.0,63,5.86,2.1,1.114,0.499,0.141,8,1.1,,
119,"Chocolate milk, made from reduced sugar mix with whole milk",1202,"Flavored milk, whole",3.53,84.62,0.4,31,0.118,0.147,1.205,0.137,0.52,0,2.4,157,0.14,29,217,58,0.98,73,5.78,3.26,1.78,0.75,0.182,11,1.1,Milks,Animal
120,"Chocolate milk, made from reduced sugar mix with reduced fat milk",1204,"Flavored milk, reduced fat",3.6,85.58,0.4,79,0.121,0.146,1.211,0.137,0.53,2,2.5,160,0.14,29,226,59,1.0,63,5.86,2.01,1.062,0.474,0.134,8,1.1,,
121,"Chocolate milk, made from reduced sugar mix with low fat milk",1206,"Flavored milk, lowfat",3.63,86.15,0.4,55,0.119,0.149,1.212,0.136,0.58,2,2.4,160,0.14,29,226,59,1.0,56,5.92,1.1,0.543,0.292,0.11,5,1.1,,
122,"Chocolate milk, made from reduced sugar mix with fat free milk",1208,"Flavored milk, nonfat",3.67,87.2,0.4,61,0.118,0.14,1.217,0.134,0.56,2,2.4,166,0.14,30,233,61,1.02,48,6.01,0.27,0.047,0.108,0.085,3,1.1,,
123,"Chocolate milk, made from reduced sugar mix with non-dairy milk",1404,Milk substitutes,1.82,87.89,0.6,68,0.079,0.108,1.34,0.093,0.82,5,2.4,183,0.47,28,163,77,0.74,50,5.2,1.34,0.135,0.545,0.6,0,1.0,Milk Substitutes,Veggie
124,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",1204,"Flavored milk, reduced fat",3.41,83.63,0.3,55,0.054,0.132,0.115,0.112,0.53,1,1.7,146,0.0,15,164,45,0.82,72,9.63,2.01,1.232,0.4,0.061,8,1.0,,
125,"Chocolate milk, made from dry mix with whole milk (Nesquik)",1202,"Flavored milk, whole",3.36,82.75,0.3,30,0.053,0.133,0.111,0.113,0.51,0,1.7,143,0.0,14,158,44,0.8,81,9.55,3.14,1.885,0.646,0.101,11,1.0,Milks,Animal
126,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",1204,"Flavored milk, reduced fat",3.42,83.68,0.3,78,0.056,0.132,0.117,0.113,0.52,2,1.9,146,0.0,15,166,45,0.82,72,9.62,1.92,1.182,0.375,0.054,8,1.0,,
127,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",1206,"Flavored milk, lowfat",3.45,84.25,0.3,54,0.054,0.135,0.118,0.112,0.57,2,1.7,146,0.0,15,166,45,0.82,65,9.69,1.03,0.673,0.197,0.03,5,1.0,,
128,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",1208,"Flavored milk, nonfat",3.5,85.28,0.3,60,0.053,0.126,0.123,0.11,0.54,2,1.7,152,0.0,15,174,47,0.84,57,9.77,0.22,0.186,0.016,0.006,3,1.0,,
129,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",1404,Milk substitutes,1.68,85.96,0.5,66,0.014,0.094,0.243,0.07,0.8,5,1.7,169,0.32,13,105,63,0.57,59,8.99,1.27,0.272,0.445,0.511,0,1.0,Milk Substitutes,Veggie
130,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",1204,"Flavored milk, reduced fat",3.59,85.52,0.4,56,0.119,0.146,1.21,0.136,0.54,2,2.4,159,0.14,29,224,59,1.0,63,5.86,2.1,1.114,0.499,0.141,8,1.1,,
131,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",1202,"Flavored milk, whole",3.53,84.62,0.4,31,0.118,0.147,1.205,0.137,0.52,0,2.4,157,0.14,29,217,58,0.98,73,5.78,3.26,1.78,0.75,0.182,11,1.1,Milks,Animal
132,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",1204,"Flavored milk, reduced fat",3.6,85.58,0.4,79,0.121,0.146,1.211,0.137,0.53,2,2.5,160,0.14,29,226,59,1.0,63,5.86,2.01,1.062,0.474,0.134,8,1.1,,
133,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",1206,"Flavored milk, lowfat",3.63,86.15,0.4,55,0.119,0.149,1.212,0.136,0.58,2,2.4,160,0.14,29,226,59,1.0,56,5.92,1.1,0.543,0.292,0.11,5,1.1,,
134,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",1208,"Flavored milk, nonfat",3.67,87.2,0.4,61,0.118,0.14,1.217,0.134,0.56,2,2.4,166,0.14,30,233,61,1.02,48,6.01,0.27,0.047,0.108,0.085,3,1.1,,
135,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",1404,Milk substitutes,1.82,87.89,0.6,68,0.079,0.108,1.34,0.093,0.82,5,2.4,183,0.47,28,163,77,0.74,50,5.2,1.34,0.135,0.545,0.6,0,1.0,Milk Substitutes,Veggie
136,"Chocolate milk, made from syrup, NS as to type of milk",1204,"Flavored milk, reduced fat",2.89,81.43,0.0,51,0.05,0.123,0.118,0.053,0.48,2,0.1,109,0.0,16,152,54,0.44,80,12.23,1.73,1.009,0.369,0.056,7,1.0,,
137,"Chocolate milk, made from syrup with whole milk",1202,"Flavored milk, whole",2.84,80.62,0.0,28,0.049,0.124,0.114,0.054,0.47,0,0.0,107,0.0,16,146,53,0.43,88,12.16,2.77,1.612,0.596,0.094,10,1.0,Milks,Animal
138,"Chocolate milk, made from syrup with reduced fat milk",1204,"Flavored milk, reduced fat",2.9,81.48,0.0,72,0.052,0.123,0.12,0.054,0.48,2,0.2,109,0.0,16,154,54,0.45,79,12.23,1.65,0.962,0.347,0.05,7,1.0,,
139,"Chocolate milk, made from syrup with low fat milk",1206,"Flavored milk, lowfat",2.93,82.0,0.0,50,0.05,0.125,0.121,0.053,0.53,2,0.0,109,0.0,16,154,54,0.45,73,12.29,0.82,0.492,0.182,0.028,4,1.0,,
140,"Chocolate milk, made from syrup with fat free milk",1208,"Flavored milk, nonfat",2.97,82.96,0.0,55,0.049,0.118,0.125,0.051,0.5,2,0.0,114,0.0,16,161,56,0.46,65,12.37,0.07,0.042,0.015,0.005,3,1.0,,
141,"Chocolate milk, made from syrup with non-dairy milk",1404,Milk substitutes,1.29,83.58,0.2,61,0.013,0.088,0.236,0.015,0.74,5,0.0,130,0.3,14,97,70,0.21,67,11.64,1.04,0.122,0.411,0.472,0,0.9,Milk Substitutes,Veggie
142,"Chocolate milk, made from light syrup, NS as to type of milk",1204,"Flavored milk, reduced fat",3.1,85.67,0.0,51,0.051,0.125,0.119,0.054,0.49,1,0.1,111,0.0,15,161,47,0.43,63,7.86,1.86,1.018,0.373,0.057,7,1.0,,
143,"Chocolate milk, made from light syrup with whole milk",1202,"Flavored milk, whole",3.04,84.85,0.0,28,0.05,0.126,0.114,0.054,0.47,0,0.0,109,0.0,15,155,46,0.42,72,7.79,2.92,1.627,0.602,0.094,10,1.0,Milks,Animal
144,"Chocolate milk, made from light syrup with reduced fat milk",1204,"Flavored milk, reduced fat",3.1,85.72,0.0,73,0.053,0.125,0.12,0.054,0.48,2,0.2,112,0.0,15,163,47,0.44,63,7.86,1.78,0.971,0.35,0.051,7,1.0,,
145,"Chocolate milk, made from light syrup with low fat milk",1206,"Flavored milk, lowfat",3.13,86.24,0.0,51,0.051,0.127,0.121,0.054,0.53,2,0.0,112,0.0,15,163,47,0.44,57,7.92,0.95,0.497,0.184,0.028,4,1.0,,
146,"Chocolate milk, made from light syrup with fat free milk",1208,"Flavored milk, nonfat",3.18,87.21,0.0,56,0.05,0.12,0.126,0.052,0.51,2,0.0,117,0.0,15,170,48,0.45,49,8.0,0.19,0.043,0.015,0.005,3,1.0,,
147,"Chocolate milk, made from light syrup with non-dairy milk",1404,Milk substitutes,1.48,87.84,0.2,62,0.014,0.09,0.237,0.015,0.74,5,0.0,132,0.3,14,105,63,0.2,51,7.27,1.17,0.123,0.415,0.476,0,0.9,Milk Substitutes,Veggie
148,"Chocolate milk, made from sugar free syrup, NS as to type of milk",1204,"Flavored milk, reduced fat",3.28,87.77,0.4,51,0.052,0.129,0.143,0.055,0.49,2,0.1,110,0.26,20,186,77,0.5,50,4.31,2.0,1.112,0.426,0.062,7,1.0,,
149,"Chocolate milk, made from sugar free syrup with whole milk",1202,"Flavored milk, whole",3.23,86.94,0.4,28,0.051,0.13,0.138,0.056,0.47,1,0.0,108,0.26,20,180,76,0.48,58,4.24,3.05,1.72,0.655,0.1,10,1.0,Milks,Animal
150,"Chocolate milk, made from sugar free syrup with reduced fat milk",1204,"Flavored milk, reduced fat",3.29,87.82,0.4,73,0.054,0.129,0.144,0.056,0.48,2,0.2,110,0.26,20,188,77,0.5,49,4.31,1.92,1.064,0.404,0.056,7,1.0,,
151,"Chocolate milk, made from sugar free syrup with low fat milk",1206,"Flavored milk, lowfat",3.32,88.34,0.4,51,0.052,0.131,0.145,0.055,0.53,2,0.0,110,0.26,20,188,77,0.5,43,4.37,1.08,0.59,0.237,0.033,4,1.0,,
152,"Chocolate milk, made from sugar free syrup with fat free milk",1208,"Flavored milk, nonfat",3.36,89.31,0.4,56,0.051,0.123,0.15,0.053,0.51,2,0.0,115,0.26,20,195,79,0.52,35,4.45,0.32,0.136,0.069,0.01,3,1.0,,
153,"Chocolate milk, made from sugar free syrup with non-dairy milk",1404,Milk substitutes,1.66,89.94,0.5,62,0.015,0.094,0.262,0.016,0.74,5,0.0,131,0.56,18,130,94,0.26,37,3.72,1.31,0.217,0.468,0.481,0,0.9,Milk Substitutes,Veggie
154,"Hot chocolate / Cocoa, made with dry mix and water",1208,"Flavored milk, nonfat",0.91,86.5,0.5,0,0.013,0.077,0.08,0.016,0.05,1,0.0,21,0.16,12,97,72,0.21,54,8.93,0.55,0.324,0.18,0.016,0,0.0,,
155,"Hot chocolate / Cocoa, made with dry mix and whole milk",1202,"Flavored milk, whole",3.73,76.61,0.5,28,0.059,0.195,0.169,0.065,0.49,1,0.0,124,0.16,21,225,100,0.55,105,12.87,3.31,1.929,0.773,0.109,10,1.0,Milks,Animal
156,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",1204,"Flavored milk, reduced fat",3.79,77.47,0.5,72,0.061,0.194,0.175,0.065,0.5,2,0.2,127,0.16,21,232,101,0.57,96,12.94,2.18,1.278,0.523,0.065,7,1.0,,
157,"Hot chocolate / Cocoa, made with dry mix and low fat milk",1206,"Flavored milk, lowfat",3.82,78.0,0.5,50,0.06,0.196,0.176,0.065,0.55,2,0.0,127,0.16,21,232,101,0.57,90,13.0,1.36,0.808,0.358,0.043,4,1.0,,
158,"Hot chocolate / Cocoa, made with dry mix and fat free milk",1208,"Flavored milk, nonfat",3.86,78.95,0.5,56,0.059,0.189,0.18,0.063,0.52,2,0.0,132,0.16,22,239,102,0.58,82,13.08,0.6,0.358,0.191,0.02,3,1.0,,
159,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",1404,Milk substitutes,2.18,79.63,0.7,61,0.025,0.159,0.291,0.029,0.79,5,0.0,148,0.46,20,175,117,0.33,84,12.31,1.57,0.436,0.586,0.487,0,0.9,Milk Substitutes,Veggie
160,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",1208,"Flavored milk, nonfat",1.28,91.92,0.6,0,0.022,0.116,0.09,0.026,0.1,1,0.0,50,0.41,18,224,75,0.28,31,3.11,0.25,0.147,0.081,0.007,0,0.0,,
161,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",1202,"Flavored milk, whole",4.26,81.29,0.6,30,0.07,0.239,0.184,0.079,0.57,1,0.0,159,0.4,28,355,105,0.65,85,7.45,3.18,1.853,0.711,0.106,11,1.0,Milks,Animal
162,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",1204,"Flavored milk, reduced fat",4.33,82.21,0.6,77,0.073,0.239,0.19,0.079,0.57,3,0.2,162,0.4,28,363,106,0.67,76,7.52,1.99,1.164,0.447,0.06,7,1.0,,
163,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",1206,"Flavored milk, lowfat",4.35,82.76,0.6,54,0.071,0.241,0.191,0.078,0.63,3,0.0,162,0.4,28,363,106,0.67,70,7.59,1.12,0.665,0.272,0.037,5,1.0,,
164,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",1208,"Flavored milk, nonfat",4.4,83.77,0.6,59,0.07,0.233,0.196,0.076,0.6,3,0.0,168,0.4,28,371,108,0.69,62,7.67,0.32,0.188,0.094,0.013,3,1.0,,
165,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",1404,Milk substitutes,2.61,84.47,0.8,65,0.035,0.201,0.313,0.04,0.87,6,0.0,184,0.72,26,302,124,0.42,64,6.88,1.35,0.272,0.514,0.508,0,0.9,Milk Substitutes,Veggie
166,"Strawberry milk, NFS",1204,"Flavored milk, reduced fat",3.33,88.68,0.0,81,0.058,0.139,0.11,0.059,0.55,2,0.2,128,0.0,12,157,40,0.43,52,5.29,1.9,1.111,0.404,0.059,8,1.1,,
167,"Strawberry milk, whole",1202,"Flavored milk, whole",3.04,81.46,0.0,30,0.052,0.136,0.103,0.057,0.5,0,0.0,114,0.03,11,139,38,0.38,85,11.68,2.97,1.719,0.636,0.1,11,1.0,Milks,Animal
168,"Strawberry milk, reduced fat",1204,"Flavored milk, reduced fat",3.15,83.64,0.0,78,0.056,0.135,0.11,0.057,0.52,2,0.2,118,0.03,11,150,39,0.4,71,10.46,1.8,1.042,0.375,0.054,8,1.0,,
169,"Strawberry milk, low fat",1206,"Flavored milk, lowfat",3.13,82.94,0.0,54,0.053,0.138,0.11,0.056,0.56,2,0.0,117,0.03,11,147,39,0.4,69,11.82,0.89,0.525,0.194,0.03,5,1.0,,
170,"Strawberry milk, fat free",1208,"Flavored milk, nonfat",3.18,83.95,0.0,59,0.052,0.129,0.115,0.054,0.54,2,0.0,122,0.03,12,155,41,0.42,61,11.9,0.09,0.045,0.016,0.006,3,1.0,,
171,"Strawberry milk, reduced sugar",1206,"Flavored milk, lowfat",3.31,87.91,0.0,57,0.056,0.138,0.111,0.059,0.6,2,0.0,124,0.0,12,156,38,0.42,50,6.86,0.94,0.557,0.206,0.031,5,1.1,,
172,"Strawberry milk, non-dairy",1404,Milk substitutes,1.39,84.62,0.2,65,0.014,0.098,0.233,0.014,0.78,5,0.0,139,0.35,10,87,57,0.15,63,11.12,1.13,0.13,0.438,0.503,0,1.0,Milk Substitutes,Veggie
173,"Milk, malted",1204,"Flavored milk, reduced fat",3.2,85.25,0.0,115,0.113,0.131,0.89,0.136,0.54,1,2.4,159,0.71,21,150,60,1.0,64,7.82,1.91,1.114,0.408,0.062,8,1.4,,
174,Eggnog,1402,Milk shakes and other dairy drinks,4.55,82.54,0.0,59,0.034,0.19,0.105,0.05,0.45,1,1.5,130,0.2,19,165,54,0.46,88,8.05,4.19,2.591,1.302,0.198,59,1.2,,
175,"Milk shake, home recipe, chocolate",1402,Milk shakes and other dairy drinks,3.48,75.87,0.5,64,0.051,0.159,0.151,0.059,0.45,6,0.3,118,0.35,18,187,52,0.47,119,12.57,6.14,3.725,1.64,0.222,20,0.8,,
176,"Milk shake, home recipe, flavors other than chocolate",1402,Milk shakes and other dairy drinks,3.36,78.45,0.2,63,0.051,0.174,0.109,0.056,0.49,2,0.2,125,0.03,13,167,53,0.51,112,10.66,5.98,3.616,1.5,0.231,23,0.8,,
177,"Milk shake, home recipe, chocolate, light",1402,Milk shakes and other dairy drinks,3.99,79.03,0.3,63,0.044,0.136,0.118,0.046,0.43,3,0.5,138,0.26,15,163,51,0.43,97,12.42,3.31,2.007,0.907,0.111,14,0.7,,
178,"Milk shake, home recipe, flavors other than chocolate, light",1402,Milk shakes and other dairy drinks,3.88,79.07,0.1,83,0.056,0.181,0.121,0.055,0.56,3,0.4,138,0.07,13,176,51,0.54,92,11.07,2.33,1.408,0.591,0.099,13,0.7,,
179,Milk shake with malt,1402,Milk shakes and other dairy drinks,3.77,75.57,0.2,63,0.068,0.202,0.302,0.07,0.5,3,0.3,131,0.06,16,190,66,0.53,124,12.04,6.11,3.659,1.525,0.276,23,0.8,,
180,"Milk shake, fast food, chocolate",1402,Milk shakes and other dairy drinks,3.7,68.32,1.6,89,0.027,0.652,0.252,0.061,0.22,1,0.0,115,0.73,23,193,80,0.7,150,13.39,6.66,4.044,1.841,0.318,23,0.0,,
181,"Milk shake, fast food, flavors other than chocolate",1402,Milk shakes and other dairy drinks,3.37,69.65,0.9,91,0.026,0.66,0.213,0.06,0.22,0,0.0,115,0.46,13,166,81,0.57,148,13.63,6.52,3.962,1.785,0.316,23,0.0,,
182,"Milk shake, bottled, chocolate",1402,Milk shakes and other dairy drinks,3.7,68.32,1.6,89,0.027,0.652,0.252,0.061,0.22,1,0.0,115,0.73,23,193,80,0.7,150,13.39,6.66,4.044,1.841,0.318,23,0.0,,
183,"Milk shake, bottled, flavors other than chocolate",1402,Milk shakes and other dairy drinks,3.37,69.65,0.9,91,0.026,0.66,0.213,0.06,0.22,0,0.0,115,0.46,13,166,81,0.57,148,13.63,6.52,3.962,1.785,0.316,23,0.0,,
184,Licuado or Batido,7220,Smoothies and grain drinks,2.4,82.44,0.7,38,0.045,0.104,0.242,0.109,0.35,8,9.9,83,0.11,14,184,25,0.32,71,10.86,1.38,0.758,0.281,0.076,5,0.7,,
185,"Fruit smoothie, NFS",7220,Smoothies and grain drinks,2.4,84.22,1.2,20,0.039,0.11,0.311,0.092,0.28,10,9.0,81,0.22,14,180,28,0.37,63,8.23,1.07,0.57,0.236,0.094,4,0.6,,
186,"Fruit smoothie, with whole fruit and dairy",7220,Smoothies and grain drinks,2.4,84.22,1.2,20,0.039,0.11,0.311,0.092,0.28,10,9.0,81,0.22,14,180,28,0.37,63,8.23,1.07,0.57,0.236,0.094,4,0.6,,
187,"Fruit smoothie, with whole fruit and dairy, added protein",7220,Smoothies and grain drinks,7.38,80.44,1.1,22,0.077,0.236,0.312,0.085,0.46,10,8.4,116,0.28,23,174,40,0.77,77,7.14,1.21,0.649,0.26,0.11,5,0.7,,
188,"Fruit smoothie juice drink, with dairy",7220,Smoothies and grain drinks,0.86,83.61,0.9,2,0.023,0.028,0.217,0.108,0.0,8,5.2,20,0.14,11,131,14,0.09,65,12.68,0.14,0.0,0.049,0.052,1,0.0,,
189,Chocolate milk drink,1402,Milk shakes and other dairy drinks,0.64,87.63,0.6,60,0.01,0.051,0.106,0.011,0.06,1,2.0,100,0.33,11,79,91,0.16,49,8.68,0.4,0.31,0.049,0.009,0,1.3,,
190,"Infant formula, NFS",9402,"Formula, ready-to-feed",1.38,87.46,0.0,59,0.06,0.096,0.67,0.04,0.36,10,7.0,54,1.19,6,70,20,0.59,66,7.12,3.56,1.342,1.305,0.739,1,1.0,,
191,"Infant formula, NS as to form (Similac Expert Care Alimentum)",9402,"Formula, ready-to-feed",1.8,87.32,0.0,59,0.039,0.059,0.885,0.039,0.6,10,5.9,69,1.18,5,77,29,0.49,67,4.4,3.63,1.838,0.294,1.126,1,0.7,,
192,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",9402,"Formula, ready-to-feed",1.8,87.32,0.0,59,0.039,0.059,0.885,0.039,0.6,10,5.9,69,1.18,5,77,29,0.49,67,4.4,3.63,1.838,0.294,1.126,1,0.7,,
193,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",1.8,87.32,0.0,59,0.039,0.059,0.885,0.039,0.6,10,5.9,69,1.18,5,77,29,0.49,67,4.4,3.63,1.838,0.294,1.126,1,0.7,,
194,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",1.8,87.32,0.0,59,0.039,0.059,0.885,0.039,0.6,10,5.9,69,1.18,5,77,29,0.49,67,4.4,3.63,1.838,0.294,1.126,1,0.7,,
195,"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",1.8,87.32,0.0,59,0.039,0.059,0.885,0.039,0.6,10,5.9,69,1.18,5,77,29,0.49,67,4.4,3.63,1.838,0.294,1.126,1,0.7,,
196,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",9404,"Formula, prepared from powder",1.8,87.32,0.0,59,0.039,0.059,0.885,0.039,0.6,10,5.9,69,1.18,5,77,29,0.49,67,4.4,3.63,1.838,0.294,1.126,1,0.7,,
197,"Infant formula, NS as to form (Similac Advance)",9402,"Formula, ready-to-feed",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
198,"Infant formula, ready-to-feed (Similac Advance)",9402,"Formula, ready-to-feed",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
199,"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",9406,"Formula, prepared from concentrate",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
200,"Infant formula, powder, made with water, NFS (Similac Advance)",9404,"Formula, prepared from powder",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
201,"Infant formula, liquid concentrate, made with tap water (Similac Advance)",9406,"Formula, prepared from concentrate",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
202,"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",9406,"Formula, prepared from concentrate",1.37,87.71,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,60,1.19,6,69,18,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
203,"Infant formula, liquid concentrate, made with baby water (Similac Advance)",9406,"Formula, prepared from concentrate",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,51,1.19,4,69,16,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
204,"Infant formula, powder, made with tap water (Similac Advance)",9404,"Formula, prepared from powder",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
205,"Infant formula, powder, made with plain bottled water (Similac Advance)",9404,"Formula, prepared from powder",1.37,87.71,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,60,1.19,6,69,18,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
206,"Infant formula, powder, made with baby water (Similac Advance)",9404,"Formula, prepared from powder",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,51,1.19,4,69,16,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
207,"Infant formula, NS as to form (Similac Advance Organic)",9402,"Formula, ready-to-feed",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
208,"Infant formula, ready-to-feed (Similac Advance Organic)",9402,"Formula, ready-to-feed",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
209,"Infant formula, powder, made with water, NFS (Similac Advance Organic)",9404,"Formula, prepared from powder",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
210,"Infant formula, powder, made with tap water (Similac Advance Organic)",9404,"Formula, prepared from powder",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,54,1.19,5,69,19,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
211,"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",9404,"Formula, prepared from powder",1.37,87.71,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,60,1.19,6,69,18,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
212,"Infant formula, powder, made with baby water (Similac Advance Organic)",9404,"Formula, prepared from powder",1.37,87.64,0.0,59,0.066,0.099,0.693,0.04,0.34,10,5.9,51,1.19,4,69,16,0.5,66,6.87,3.62,1.24,1.317,0.803,2,1.0,,
213,"Infant formula, NS as to form (Similac Sensitive)",9402,"Formula, ready-to-feed",1.4,87.63,0.0,59,0.065,0.098,0.686,0.04,0.32,9,5.7,57,1.17,5,70,23,0.5,65,6.99,3.53,2.298,0.363,0.787,2,1.2,,
